Left Motor,Right Motor,Left Sensor,Right Sensor
-20,20,46,676
40,40,49,59
40,40,49,51
40,40,49,50
40,40,50,48
40,40,50,48
40,40,51,47
40,40,52,47
40,40,52,47
40,40,55,48
40,40,55,48
40,40,52,47
40,40,51,50
40,40,52,61
40,40,49,234
-20,20,46,332
40,40,46,293
40,40,46,265
40,40,47,242
40,40,46,214
40,40,46,180
40,40,48,148
40,40,48,110
40,40,51,71
40,40,52,80
40,40,49,93
40,40,49,186
40,40,49,357
-20,20,47,435
-20,20,46,452
40,40,49,46
40,40,49,46
40,40,49,46
40,40,50,46
40,40,49,47
40,40,49,47
40,40,49,48
40,40,50,49
40,40,55,51
40,40,63,52
40,40,59,49
40,40,58,48
40,40,59,49
40,40,59,49
40,40,58,54
40,40,57,73
40,40,54,279
-20,20,53,460
-20,20,47,563
40,40,48,167
40,40,48,120
40,40,49,88
40,40,49,72
40,40,49,65
40,40,49,60
40,40,49,58
40,40,50,58
40,40,55,69
40,40,60,81
40,40,59,151
40,40,52,202
40,40,54,272
-20,20,55,443
-20,20,45,630
40,40,44,45
40,40,44,45
40,40,44,45
40,40,44,45
40,40,45,45
40,40,45,46
40,40,46,46
40,40,46,47
40,40,47,49
40,40,46,47
40,40,46,46
40,40,46,45
40,40,47,46
40,40,45,45
40,40,46,49
40,40,48,132
40,40,50,346
-20,20,60,428
-20,20,45,664
40,40,45,155
40,40,46,132
40,40,45,105
40,40,45,75
40,40,46,62
40,40,46,57
40,40,47,55
40,40,47,53
40,40,48,60
40,40,47,146
40,40,47,265
-20,20,47,435
-20,20,44,379
40,40,42,44
40,40,42,44
40,40,42,44
40,40,42,43
40,40,42,44
40,40,42,44
40,40,42,44
40,40,42,44
40,40,44,45
40,40,43,45
40,40,44,45
40,40,44,44
40,40,44,44
40,40,44,44
40,40,44,45
40,40,44,50
40,40,44,124
40,40,44,366
-20,20,44,484
-20,20,42,536
40,40,41,173
40,40,41,128
40,40,41,76
40,40,41,56
40,40,41,52
40,40,41,51
40,40,41,51
40,40,42,53
40,40,43,117
40,40,43,240
40,40,43,353
-20,20,44,454
-20,20,44,497
40,40,41,42
40,40,42,42
40,40,41,42
40,40,42,42
40,40,41,42
40,40,42,42
40,40,42,42
40,40,42,43
40,40,42,42
40,40,43,44
40,40,43,52
40,40,45,191
40,40,47,472
-20,20,47,589
-20,20,42,608
40,40,42,64
40,40,42,55
40,40,42,51
40,40,42,49
40,40,42,48
40,40,42,47
40,40,42,46
40,40,43,46
40,40,44,51
40,40,44,59
40,40,43,162
40,40,43,363
-20,20,44,466
-20,20,45,564
40,40,44,59
40,40,44,52
40,40,44,49
40,40,44,48
40,40,44,47
40,40,44,46
40,40,44,45
40,40,44,46
40,40,46,49
40,40,47,50
40,40,45,99
40,40,45,328
-20,20,46,460
-20,20,43,461
40,40,44,42
40,40,43,42
40,40,44,41
40,40,45,42
40,40,44,42
40,40,44,42
40,40,44,42
40,40,45,42
40,40,46,43
40,40,47,45
40,40,45,45
40,40,45,48
40,40,43,114
40,40,43,280
-20,20,42,387
-20,20,44,347
40,40,43,42
40,40,43,42
40,40,42,41
40,40,42,41
40,40,42,41
40,40,43,42
40,40,42,42
40,40,44,43
40,40,44,43
40,40,44,43
40,40,44,43
40,40,45,43
40,40,45,44
40,40,44,47
40,40,44,51
40,40,45,46
40,40,46,43
40,40,44,42
40,40,43,43
40,40,45,43
40,40,45,43
40,40,46,44
40,40,47,45
40,40,46,44
40,40,45,45
40,40,46,48
40,40,47,47
40,40,48,50
40,40,48,47
40,40,47,49
40,40,50,49
40,40,54,48
40,40,54,46
40,40,53,45
40,40,62,48
40,40,56,48
40,40,55,49
40,40,63,49
40,40,70,51
40,40,58,50
40,40,57,52
40,40,52,47
40,40,60,47
40,40,66,47
40,40,54,45
40,40,52,46
40,40,51,46
40,40,48,46
